Date,Horoscopes,Overview,Love,Dating,Work,Bonus
"July 1, 2021",Aries,"As an Aries, you’re born with the natural instinct to be on-the-go. That impulse may feel thwarted today, so prepare to pump the brakes if necessary. Your ruling planet, self-motivated Mars, locks into an uncomfortable opposition with limit-setting Saturn. This aspect can prompt growing pains and unexpected obstacles to crop up—especially around your long-term goals. Take a beat and reassess what needs restructuring before carrying on.
","Aries, just because it's suddenly going your way doesn't mean it's too good to be true. Your challenge, should you choose to accept it, will likely be to stem from today's moon-Chiron conjunction. But even then, there's no reason to stress. Chiron's been in your sign for quite some time, and you're healing so take your time. On a brighter note, Luna will be in harmony with both your planetary ruler, Mars, and coquettish Venus, amidst their journey through your romantic fifth house of love, passion, and pleasure. Single? The difference between the person you used to be and the person you've become is that you finally know exactly what you want.

","Your recent efforts will soon pay off, and your competitive prowess will be the envy of anyone crazy enough to challenge you today. Don't back down when it comes to adventure -- especially in romance.","Aries, the cosmos are activating your naturally independent spirit. The reactionary moon is forming a connection with Chiron in Aries in your first house of identity and self. You may clash with authority figures at work and reassert your opinions more intensely at this time. Proceed with caution, as it is always good to take a pause before and listen. Going full force ahead like your symbol can come naturally, but it’s best to take a different approach.
","Your energy levels are up, and you're going to help a friend who's down. Nice work!"
"July 2, 2021",Aries,"Send nurturing energy to yourself today, Aries. The revelations you wrestled with this week have likely taken a toll on you, and the nurturing moon’s presence in your sign indicates that you need a little TLC. Luna spends the day in a sweet connection with Mercury, making it easy to get things off your chest in conversational settings and regain emotional equilibrium.
","You're into it so you're going for it, Aries. In the midst of Luna igniting your cardinal fires, it will continue to trine your red-hot planetary ruler, Mars, via your flamboyant fifth house of love, passion, and pleasure. The catch? Luna will simultaneously face off with smoldering Pluto which could, in turn, trigger compulsive feelings and/or power struggles, so be mindful with your approach. Everyone knows how much you love to win, but at what cost? Warning: Your assertive celestial ruler, Mars, will also clash with rebellious Uranus, which means this dynamic passion and fiery energy could potentially escalate. Take it easy and leave your ego behind for a bit.
",Now's the time to confess to your crush to your best pal -- even if it's socially inappropriate. Keeping secrets is hard work.,"Dear Aries, this is a time for resolution, and manifesting the career that you’ve been looking for. You are feeling motivated to make pivotal decisions in your career path. The Aries moon is in your first house of self and is forming a square with Pluto in Capricorn retrograde in your tenth house of career. This is a motivating aspect that can drive you to make changes that are right for you first, and no one else. If you have been in a professional spot that you dislike, you will make a change.
 
",Today is a great day for romance -- whether you're in a relationship or not.
"July 3, 2021",Aries,"You’re something of a match waiting to be lit today, Aries. Your ruling planet, self-directed Mars, finds itself in a heated square with change-demanding Uranus. This explosive aspect is liable to spark some tensions, as it prompts you to find ways to break away from old modes of behavior. This frustration is likely to emerge around your feelings of validity vs. your ability to share your skills publicly.
","Single or attached, today's astro weather is advising you to take things down a notch, Aries. The moon enters sensually driven Taurus and your stability-seeking second house comfort, finances, and value systems today—bringing your attention to themes surrounding everything from your sense of security, to your emotional stability. Luna will also be in harmony with lucky Jupiter, amidst its journey through your mystical twelfth house of closure, dreams, and all things behind the scenes. This, in turn, encourages you to trust the process. Having said that, if you're catching feelings for someone, there's no need to rush things. Let the chips fall where they may.
","You might start the day full of sass, but by the end of the afternoon, you'll be so bogged down in petty details that you might forget your own name. It's just a phase, though.","Aries, prepare for a positive shift in your money! The moon is entering into one of its best positions in the sign of Taurus in your second house of earned income and money. This is activating the planet of change, Uranus, and pushing you to recognize your worth. The moon is also in synergy with transformative Pluto retrograde in Capricorn in your career sector, pushing the conversation in a positive direction. Where have you not articulated your needs to your employer financially? Now you can find the energy to do so.
 
",You're finally getting your routine down -- time to focus on the next big goal.
"June 27, 2021",Aries,"Don’t get discouraged if your goals feel out of reach today, Aries. In fact, double down and commit to the work that it takes to get there. The future-oriented Aquarius moon merges with responsible Saturn, highlighting any blockages to address on the road to success. Fortunately, the mood lightens up later when Luna aligns with playful Mercury. This aspect encourages mental clarity and smooth conversations.
","Aries, you're seeing things in a different light and you're ready to be vocal about it, too. Although, in addition to speaking your truth, you're also in the midst of confronting some deep-rooted emotions you may have repressed once upon a time. Single and looking for your summer fling? Themes that revolve around your individual freedom and financial independence could also come up for review during this time, so you may or may not be partaking in a series of important conversations. Keep in mind, your red-hot planetary ruler, Mars, will also be in harmony with the North Node in your communication sector—so, it's time to come clean.
","Shopping only holds minor interest for you on some days, but then there are days like today. You might want to spend more than you should on that date you've been waiting to score. Just make sure it will be worth it. ","Aries, bring the fun back into your workday! The planet of creation, Venus, is in its joy in the sign of Leo. This is activating this playful energy in your fifth house of self-expression. Venus also is joining driven Mars which is encouraging this active energy. Where can you bring more of this back into the work that you do? Lean into this! Suggest changing up your work scenery or scheduling social time with colleagues to break the ice. 
",Today will be an effortless day -- full of few surprises and many relaxing moments.
"June 28, 2021",Gemini,"As a Gemini, you’re eternally curious about life. Let yourself lean into that open-minded approach to the world today, as the moon roams through progressive Aquarius. It’s an ideal time to tap into educational ventures or seek out a routine-breaking adventure. Later on, the moon dips into soulful Pisces and merges with opportunity-bringing Jupiter, attracting sweet circumstances to the career front.
","With both Mars and Venus sizzling through your third house of communication, thought process, and immediate surroundings, it's no wonder why your seduction style is so flamboyant. Bold and unapologetic, you'll stop at nothing to get what's yours—even if that means taking the initiative, Gemini. Today's moon will slip into Pisces via your tenth house of authority, prestige, and reputation in the world, bringing your attention to themes surrounding your public persona and sense of authority. Luna will also join forces with Jupiter—the ruler of your relationship sector—bestowing you with hope, optimism, and compassion. The thought of giving turns you on, but don't lose sight of the bigger picture.
","Your to-do list might be out of control, especially if it's all in your head! Toss it and write down a new one, focusing on the stuff that is vital to your well-being or creative persona.","Gemini, this is a powerful portal of energy for your work today. The Aquarius moon is in your ninth house of higher perspective and forming a supportive connection with your planetary ruler, Mercury in Gemini. Both planets are in air energy, so this essentially is amplifying your natural communication superpowers. Use this as a time to plan speaking publicly, launching something new on social media, or holding important meetings. 
","There's no need to sell out on your idea, it's prefect as is. Don't underestimate yourself."
"June 29, 2021",Gemini,"Push ahead with your career plans today, Gemini. The moon meanders through soulful Pisces all day, directing your focus toward the state of your ambitions. What could use fine tuning on that forward path? Luna’s supportive connection with change-bringer Uranus helps bring a fresh dose of inspiration and insight into what needs shifting. Let your talents shine and put yourself on display!
","Surrender the need for control, Gemini. While the sun continues to energize and revitalize your stability-seeking second house of comfort, finances, and values, it will trine the moon in your bossy tenth house of authority today. Granted, you know what you want and you're not going to settle for anything less, but don't you think you're overthinking things? Today's challenging square between the moon and your planetary ruler, Mercury, is bound to create illusions—not to mention friction between your heart and mind. If you're convinced that they're “the one,” then what's stopping you from taking the leap? Being fixated from a distance can only get you so far.
","You can't just wait around hoping for something cool to happen. You've got to make it so! Your energy is a little dissipated, but you've got enough to plant the seeds of something awesome at least.","Career gold can happen for you today, Twins. Be open to positive shifts and growth! The moon in Pisces is in your tenth house of career, forming a positive connection with lucky Jupiter in Pisces retrograde. You have gone through much personal growth and internal changes regarding your work. Now, the universe is bringing you a positive pathway forward. Take advantage and give your best at work today. Others will notice and help you up!
","The fighting around you is stressful, but it reminds you of the value of compromise."
"June 30, 2021",Gemini,"You can tap into the vision of the collective today, Gemini. Luna’s presence in dreamy Pisces pushes you to explore your imaginative abilities on the career front. The moon’s meet-up with reality-bending Neptune helps you pull down inspiration from the ether that can be shared on a public scale. Later, the moon’s connection with Pluto offers room for healing around romantic relationships.
","Are you ready to take charge of the situation, Gemini? Today's moon will not only join forces with dreamy Neptune, but it will also activate your bossy tenth house of authority, career, and legacy in the world. Granted, when transiting alongside all-encompassing Neptune, there are no boundaries between your emotions and your lover's—so be sure to stay grounded. You won't want to confuse your feelings with someone else's. More importantly, Luna's sextile to Pluto via your sultry eighth house of intimacy adds a layer of emotional intensity to your relationship dynamic. Stand firm in your truth because there's no need to second-guess your decision.
","Relax and just take care of those essential tasks that you can't avoid. You need to keep a light schedule today, if possible. It's a great time to open up to someone you know well.","Change is here for you in your work projects, Gemini. The cosmos can bring you a special delivery in the form of an exciting new project or career opportunity that’s more in alignment with you. The Pisces moon is activating creative Neptune retrograde in your career sector. This is an aspect of realization that you need fulfillment on a soul level when it comes to your work. Use your intuition to decide what direction to go in. 
","If they become moody if they don't get what they want, let them. Don't cater."
"July 1, 2021",Gemini,"It’s easy to feel mentally and verbally walled-off today, Gemini. Try to refrain from engaging in any activities that spotlight your ability to express yourself, as this activity may feel especially challenged today. Go-getter Mars locks eyes with limitation-setting Saturn, prompting mental storm clouds. Embrace anything that's slowing your forward movement, as this halt is an important step in your progress.
","If there's love, then it shouldn't be a popularity contest, Gemini. The moon enters assertive Aries today via your freedom-loving eleventh house of associations, community, and extended networks, but it will also join forces with the wounded healer, Chiron, in the process. Wondering whether or not your new squeeze will get along with your circle of friends? The good news is, Luna will be in harmony with both Mars and Venus in your curious third house of communication, thought process, and immediate surroundings. For some of you, this connection could've started online or via a dating app. But if it hasn't, it's never too late to sign up.
","Debates are your specialty, and you love to go for the throat when you're up against somebody pompous or bullying. But don't be mean, and don't get caught just showing off, either. Show them your sweet side, too.","Dear Gemini, this is a creatively expressive time for you; diving into projects that allow you to channel this is a great use of this time. The planet of creativity, Venus, is in Leo is in your third house of communication, close to driven Mars. This also is making it easier for you to influence others. Posting on social media or launching important communication can be positive for you. You are the most authentic communicator of the zodiac. 
",Any plan you come up with today is just what you think it is: perfect!
"July 2, 2021",Gemini,"Turn to your social network today, Gemini. After an intense week, you need to let loose with the people you cherish. The moon spends the day parading through eager Aries, directing your focus to your friend groups and sense of community. Luna’s sweet connection with your ruling planet, talkative Mercury, revives your charismatic communication skills and helps you cultivate a sense of balance between head and heart.
","Your connection with someone in your social spheres *finally* starts to make sense, Gemini. But don't give it too much thought… because you'll be right back to square one. In the meantime, while the moon continues to roam through your freedom-loving eleventh house of associations, community, and future visions, it will sextile your curious ruler, Mercury, creating a harmonious synergy between your heart and mind. Ready to put those back-to-back thoughts into words? Keep in mind, Luna's square to Pluto via your sultry eighth house of sex, mergers, and entanglements is bound to create friction between your desire to keep things lighthearted and your fear of missing the opportunity. Stay balanced.
","Are you happy, or just having fun? There's nothing wrong with fun, but don't take up all your time with distracting yourself.","Dear Gemini, this is a day of clarity to release communications work online or even hold important meetings with colleagues. The fiery Aries moon is giving you energy in your eleventh house of networking and forming a supportive aspect with Saturn retrograde in Aquarius in your ninth house of broader messages. New decisions you make around this time can be solidified long-term and you can feel luck around new project launches. Use this period of motivation to move forward. 
",Agreeing on everything with everyone is boring -- be proud of your offbeat opinions.
"July 3, 2021",Gemini,"Be mindful of your words beneath Saturday’s skies, Gemini. Hot headed Mars receives an explosive visit from freedom-seeking Uranus today, cranking up the intensity of your mental environment. This aspect prompts a strong desire for action and movement, so find a way to share your truth without unintentionally burning bridges. This connection demands an outlet- so aim to involve yourself in physical exercise.
","Gemini, it's time to take control, and set the necessary boundaries in your current situationship. The moon slips into security-conscious Taurus and your sleepy twelfth house of closure, dreams, and everything behind the scenes. This is bringing your attention inward whilst illuminating patterns buried deep within your unconscious mind. On the dark side, Luna's square to coquettish Venus via your curious third house of communication could trigger you to overindulge in a romantic fantasy of sorts—especially if you've keeping things low-key. For some of you, this could be a toxic relationship you've been keeping to yourself. But Mars' square to Uranus says it's time to set yourself free.
","Be clear with your close friends and your sweetie. It's way too easy to misread people right now, and if you don't say what's up, their guesses will be way off.","A breakthrough in your work can come today, Gemini. After a period of stagnancy and delay, you can hear word of a new client contract or an opportunity to level up your current career path. The planet of communication, Mercury, is in your second house of money and forming a positive trine with Saturn in Aquarius retrograde in your career sector. Negotiations are on deck, don’t forget to look at the details and ask for what you deserve. 
 
",Try harder to connect with a difficult family member. The extra effort is worth it.
"June 27, 2021",Gemini,"Don’t fret if you feel like mental storm clouds are gathering above you, Gemini. The intellectual Aquarius moon merges with wall-building Saturn today, prompting heavy moods and a potentially dismal outlook on the big-picture view of things. Acknowledge any realistic matters that you may have been sidestepping. Later, Luna’s meeting with quick-thinking Mercury uplifts the mood and ramps up your self-expression.
","Gemini, you're looking towards the horizon with a lot more clarity than usual, but you're also second-guessing yourself in the process. Single or already attached, today's moon-Saturn conjunction is not for the faint of heart, as you're being presented with some harsh realities you might've slipped beneath the rug for quite some time. Falling for that special someone? You could've recently connected with someone who's at a distance from you, and perhaps decided to set some boundaries in the relationship. On another note, Venus will make her sparkling debut in your communication sector—adding glitz, glamour, and drama to the mix. Don't let your ego get too carried away.
","Your thinking is moving a lot faster than anyone else's today, so get your people to see what's really going on. Make sure to try to take your time or they might try to have you committed!","Twins, luck with work communication starts today. The planet ruling over harmony, Venus, is moving into self-expressive Leo in your third house of communication. Influencing others and creating meaningful work connections can come more naturally to you. During this transit, take time to connect with others in your industry or field in a social way. Not every conversation needs to be about work! Have fun while you’re networking so you can solidify future work opportunities.
","Nothing is finalized, but all signs point to you meeting a lot of new people soon."
"June 28, 2021",Cancer,"Spend some time in your shell today, Cancer. You’re likely to be in a slow-paced, reflective mood—as the moon travels through heady Aquarius. Luna’s lack of contacts renders a low-key day, so embrace the aimlessness and slowed down pace. Later on, the moon slips into ethereal Pisces and merges with thought-provoking Jupiter. This transition encourages adventure and activities that help evoke a fresh perspective.
","Explore your options, Cancer. Don't settle for the easy way out; you're worth so much more than you know. Your ever-changing planetary ruler, the moon, will slip into your dreamy sister-sign Pisces via your expansive ninth house of adventure, higher learning, and long-distance journeys today, highlighting themes surrounding your desire for thrill and exciting new experiences. Luna will also join forces with Jupiter retrograde—the ruler of your sixth house of responsibilities—which means you're in the mood to carpe diem. Luckily, with both Mars and Venus dazzling through your stability-seeking second house of comfort, money, and values, you're no longer investing your time and energy… unless you're getting your end of the bargain.
","Today brings something new into your life and you love it! Perhaps it's something you've been hoping for or made happen yourself, so hop on it and ride it all the way to the end.","This can feel like a healing time for you in your career, Cancer. Restrictive Saturn is retrograde in Aquarius in your eighth house of shared resources, forming a supportive sextile with wounded healer, Chiron, in Aries in your career sector. This connection is integrating past lessons surrounding your leadership in your work. Perhaps you have not gotten in touch with this strength? Embrace it. You are a cardinal water sign and one of the leaders of the zodiac!
",Today is your independence day -- break free from authority and be your own boss.
"June 29, 2021",Cancer,"Escape the mundane today, Cancer. Tuesday’s cosmic landscape pushes you to escape your routine and comfort zone, as the moon cruises through deep-feeling Pisces. It’s an ideal day to get lost in a good book, learn something new, or seek local adventure. The moon’s sweet connection with electric Uranus brings playful, breakthrough connections within group dynamics, making it a good day to convene with friends.
","There are plenty of fish in the sea, Cancer. And despite whether you're single or already attached, a sweet trine between the sun in your sign and your planetary ruler, the moon, in your expansive ninth house of adventure—encourages you to step outside of your comfort zone, and take a walk on the wild side. The key is to do what you do best: following your intuition. Moreover, a challenging square between Mercury in your secretive twelfth house of secrets and the moon in your thrill-seeking ninth house of opportunity could potentially trigger a sense of restlessness. But there's nothing to be afraid of. Follow your heart.
",Have you been grumbling under your breath about someone or some situation for a while? Now is the time to step up and do something about it. Ask out that person or tell off that bully.,"Cancer, emotions can run high today, so it’s important to honor your limits. You could miscommunicate a message on social media or share a thought that could rub colleagues the wrong way. Take care of navigating this energy with tact. The emotional Pisces moon is in your ninth house of broader messages and is forming a challenging aspect with Mercury in Gemini. Sometimes, certain information should remain hidden until the right time. Wait until another day to hold important meetings and conversations. 
",New beginnings hold new opportunities. Be bold and go full steam ahead.
